 Copy, Copiaza
There was an error while saving your subscription,A aparut o eroare in timpul salvarii abonarii.
Form was filled incorrectly,Formular completat gresit
Invalid subscription ID,ID abonare nevalid
Invalid subscriber ID,ID abonat nevalid
Thank you for your subscription,Va multumim pentru abonare
Not activated,Inactiv
Newsletter Sign-up,Abonare Newsletter
No problems found,Nu a fost gasita nici o problema.
No subscribers selected,Nici un abonat nu a fost selectat.
Cannot save your subscription: %s,Abonarea nu poate fi salvata: %s
Cannot delete subscriber,Abonatul nu poate fi sters.
Cannot delete template,Sablonul nu poate fi sters.
Customer Lastname,Nume client
Customer Firstname,Prenume client
Selected problems successfully deleted,Problemele selectate au fost sterse cu succes.
Queue Newsletter,Lista de asteptare Newsletter
Invalid queue selected,Lista de asteptare selectata nu este valida. 
Return Html Version,Return Html Version
Save And Resume,Salveaza si continua
Toggle Editor,Schimba editor
Sign me up,Aboneaza-ma
"Customer Middle Name","Nume mijlociu client"
